"Sample","ID","Timestamp","Berlin","Paris","London","Barcelona","Madrid","Rome","Stockholm","Amsterdam","Prague","Budapest","Lisbon","Brussels","Vienna","StPetersburg","Krakow","Riga","Istanbul","Geneva","Athens","Dublin","Purpose1","Purpose2","Purpose3","Purpose4","Purpose5","Purpose_Other","With_Whom_1","With_Whom_2","With_Whom_3","With_Whom_4","With_Whom_5","Number_of_Trips","Avg_Budget","Age","Gender","Nationality","CurrentCity","Occupation","PartnershipStatus","id_unique"
1,28,"12/30/2015 17:18",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,"",1,1,1,0,0,3,2,18,"Male","German","Reisbach a.d.","Going to be a Me","single",28
1,29,"2/1/2016 14:09",1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,"",0,1,0,0,1,3,1,24,"Female","Korean","Berlin","Master student","single",29
1,30,"3/1/2016 10:40",1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,"",1,1,1,1,0,2,2,21,"Male","French","Paris","Bachelor student","single",30
1,31,"5/1/2016 16:00",1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,"",0,1,1,0,0,4,3,23,"Female","German","Berlin","Master student","single",31
1,32,"5/1/2016 20:22",1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"",0,1,0,0,0,5,2,24,"Female","Chinese","Berlin","Master student","single",32
1,33,"6/1/2016 9:48",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"",1,1,1,0,0,3,2,24,"Male","German","Berlin","Master student","in a relationship.",33
1,35,"8/1/2016 13:47",1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,"",1,1,0,0,0,3,2,23,"Female","Russian","Yekaterinburg","Master student","in a relationship.",35
1,36,"8/1/2016 19:11",1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,"",1,1,0,0,0,2,4,21,"Male","Hungarian","Budapest","Bachelor student","single",36
1,37,"9/1/2016 13:45",1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,"",1,1,0,0,0,3,1,23,"Female","Russian","Yekaterinburg","Master student","in a relationship.",37
1,38,"9/1/2016 19:11",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"",0,0,1,0,0,2,1,22,"Female","Russian","Russia","Master student","in a relationship.",38
1,39,"9/1/2016 23:24",1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,"",1,1,1,0,0,2,2,22,"Female","Hungarian","Budapest","Master student","in a relationship.",39
2,1,"12/21/2015 9:54",1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,"",1,1,1,0,0,4,3,24,"Female","German","Berlin","Master student","in a relationship.",41
2,2,"12/22/2015 12:12",1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,"",0,1,1,0,0,4,1,25,"Male","Bulgarian","Sofia","Employed","in a relationship.",42
2,3,"12/23/2015 22:07",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,"",0,1,0,0,0,4,2,28,"Male","Russian","Kaliningrad","Employed","single",43
2,4,"12/28/2015 12:42",1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,"",1,1,1,0,0,3,5,37,"Female","German","Frankfurt","Employed","married.",44
2,5,"12/28/2015 16:48",1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,"",1,1,1,0,1,3,1,27,"Female","German","Berlin","Master student","single",45
2,6,"12/29/2015 0:56",1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,"",1,1,0,0,0,5,2,27,"Female","Bulgarian","Munich","Employed","married.",46
2,7,"12/29/2015 15:02",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,"",0,1,1,0,0,1,3,26,"Male","German","Regensburg","Master student","in a relationship.",47
2,8,"12/29/2015 18:48",1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,"",0,1,0,0,0,3,1,22,"Female","German","Ulm","Bachelor student","in a relationship.",48
2,10,"12/30/2015 10:59",1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"",0,1,0,0,1,2,1,22,"Female","Russian","Berlin","Master student","in a relationship.",49
2,11,"1/1/2016 17:44",1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,"",0,1,1,0,0,3,1,23,"Female","German","Weimar","Bachelor student","in a relationship.",50
2,12,"2/1/2016 14:23",1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,"",1,1,0,0,1,3,1,24,"Male","German","Berlin","Master student","single",51
2,13,"3/1/2016 16:13",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,"",0,1,0,0,1,3,2,24,"Female","German","Germany","Master student","single",52
2,14,"3/1/2016 21:22",1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,"",1,0,1,0,0,3,1,22,"Female","German","Berlin","Master student","in a relationship.",53
2,15,"4/1/2016 11:01",1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,"",0,1,1,0,0,3,2,22,"Female","Russian","Berlin","Master student","in a relationship.",54
2,16,"4/1/2016 13:43",1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,"",0,1,1,0,0,3,3,25,"Male","German","Berlin","Master student","in a relationship.",55
2,17,"4/1/2016 20:26",1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,"",0,0,1,0,0,3,3,29,"Female","Spanish","Berlin","Employed","in a relationship.",56
2,18,"5/1/2016 11:13",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"",0,1,0,0,0,2,3,25,"Female","German","Bad Salzuflen","Employed","in a relationship.",57
2,19,"5/1/2016 13:34",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"",1,1,0,0,0,3,3,23,"Male","German","Berlin","Master student","single",58
2,20,"5/1/2016 23:47",0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"",0,1,0,0,1,4,3,24,"Male","Thai","Mango","Master student","single",59
2,21,"6/1/2016 0:13",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,1,1,0,0,3,2,24,"Female","Chinese","Paris","Bachelor student","single",60
2,22,"6/1/2016 10:21",1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",1,1,1,0,0,3,2,24,"Male","German","Berlin","Master student","in a relationship.",61
2,23,"6/1/2016 14:13",1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"",0,1,1,0,0,3,4,30,"Male","German","Munich","Employed","in a relationship.",62
2,24,"6/1/2016 22:50",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",0,1,0,0,0,2,2,25,"Female","German","Hildesheim","Master student","single",63
2,25,"8/1/2016 9:59",1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"",0,1,1,0,0,4,2,28,"Male","German","Cologne","Employed","single",64
2,26,"9/1/2016 13:24",0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"",1,1,1,0,0,3,2,22,"Male","Hungarian","Budapest","Bachelor student","in a relationship.",65
3,1,"12/20/2015 21:17",1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,"",0,1,1,1,0,5,2,21,"Female","British","Berlin","Master student","in a relationship.",66
3,2,"12/21/2015 10:13",1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,"",1,1,1,0,0,4,2,21,"Female","German","Berlin","Bachelor student","in a relationship.",67
3,3,"12/21/2015 11:55",1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"",1,1,1,0,0,1,2,24,"Male","German","Berlin","Bachelor student","in a relationship.",68
3,4,"12/22/2015 8:12",1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,"",1,0,1,0,0,2,4,24,"Male","Bulgarian","Sofia","Master student","in a relationship.",69
3,5,"12/23/2015 16:16",1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,"",1,1,1,0,0,2,2,24,"Female","German","Berlin","Master student","in a relationship.",70
3,6,"12/23/2015 22:39",1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,"",0,0,0,0,1,4,5,24,"Male","Italian","Milan","Master student","single",71
3,7,"12/24/2015 12:00",1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,"",0,1,0,0,0,2,1,26,"Male","Russian","Berlin","Master student","single",72
3,8,"12/29/2015 11:39",1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"",0,1,1,0,0,3,2,24,"Female","German","Berlin","Master student","in a relationship.",73
3,9,"12/30/2015 15:34",1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,"",0,1,0,0,1,4,1,28,"Female","German","Berlin","Bachelor student","single",74
3,10,"1/1/2016 17:57",1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,"",1,1,1,0,1,4,2,23,"Male","German","London","Master student","in a relationship.",75
